GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ABBREVIATION_HOME,SEASON_ID_HOME,PTS_5G_AVG_HOME,FG_PCT_5G_AVG_HOME,FG3_PCT_5G_AVG_HOME,FT_PCT_5G_AVG_HOME,REB_5G_AVG_HOME,AST_5G_AVG_HOME,TOV_5G_AVG_HOME,PLUS_MINUS_5G_AVG_HOME,WIN_5G_AVG_HOME,GAME_DATE_AWAY,TEAM_ID_AWAY,TEAM_ABBREVIATION_AWAY,SEASON_ID_AWAY,PTS_5G_AVG_AWAY,FG_PCT_5G_AVG_AWAY,FG3_PCT_5G_AVG_AWAY,FT_PCT_5G_AVG_AWAY,REB_5G_AVG_AWAY,AST_5G_AVG_AWAY,TOV_5G_AVG_AWAY,PLUS_MINUS_5G_AVG_AWAY,WIN_5G_AVG_AWAY,TARGET_WIN_HOME,TARGET_PLUS_MINUS_HOME,DIFF_PTS_5G_AVG,DIFF_FG_PCT_5G_AVG,DIFF_FG3_PCT_5G_AVG,DIFF_FT_PCT_5G_AVG,DIFF_REB_5G_AVG,DIFF_AST_5G_AVG,DIFF_TOV_5G_AVG,DIFF_PLUS_MINUS_5G_AVG,DIFF_WIN_5G_AVG,ELO_HOME,ELO_AWAY,DIFF_ELO
21400054,2014-11-04,1610612740,NOP,22014,95.33333333333333,0.38999999999999996,0.25666666666666665,0.6296666666666667,52.666666666666664,19.333333333333332,11.333333333333334,0.0,0.3333333333333333,2014-11-04,1610612766,CHA,22014,90.0,0.4126666666666667,0.324,0.7120000000000001,44.0,21.333333333333332,14.0,-1.0,0.3333333333333333,1,9.0,5.333333333333329,-0.022666666666666724,-0.06733333333333336,-0.08233333333333337,8.666666666666664,-2.0,-2.666666666666666,1.0,0.0,1483.6850409750994,1489.904948049071,-6.219907073971626
21400050,2014-11-04,1610612748,MIA,22014,109.33333333333333,0.4916666666666667,0.39866666666666667,0.7656666666666666,40.666666666666664,25.0,15.333333333333334,11.666666666666666,1.0,2014-11-04,1610612745,HOU,22014,105.0,0.448,0.43925,0.7235,44.5,21.75,17.25,13.5,1.0,0,-17.0,4.333333333333329,0.04366666666666669,-0.040583333333333305,0.042166666666666575,-3.8333333333333357,3.25,-1.916666666666666,-1.833333333333334,0.0,1525.3132149321086,1522.2468923874665,3.066322544642162
21400056,2014-11-04,1610612747,LAL,22014,101.0,0.4405,0.311,0.76725,37.75,20.25,15.0,-17.0,0.0,2014-11-04,1610612756,PHX,22014,101.33333333333333,0.455,0.27899999999999997,0.7893333333333333,41.333333333333336,18.333333333333332,10.666666666666666,-0.6666666666666666,0.6666666666666666,0,-6.0,-0.3333333333333286,-0.014500000000000013,0.03200000000000003,-0.022083333333333344,-3.5833333333333357,1.9166666666666679,4.333333333333334,-16.333333333333332,-0.6666666666666666,1476.8642292943334,1490.2812055101592,-13.416976215825798
21400052,2014-11-04,1610612761,TOR,22014,106.33333333333333,0.4256666666666667,0.24933333333333332,0.7416666666666667,42.0,16.666666666666668,8.666666666666666,5.0,0.6666666666666666,2014-11-04,1610612760,OKC,22014,91.5,0.42275,0.26475,0.74025,43.75,20.0,16.25,-10.0,0.25,1,12.0,14.833333333333329,0.0029166666666666785,-0.015416666666666662,0.0014166666666667327,-1.75,-3.333333333333332,-7.583333333333334,15.0,0.41666666666666663,1511.8610692656248,1492.9748277412928,18.886241524332036
21400049,2014-11-04,1610612754,IND,22014,94.66666666666667,0.437,0.3586666666666667,0.783,46.666666666666664,22.0,17.666666666666668,-2.0,0.3333333333333333,2014-11-04,1610612749,MIL,22014,98.66666666666667,0.4406666666666667,0.428,0.7596666666666666,44.0,22.666666666666668,19.666666666666668,-0.3333333333333333,0.3333333333333333,0,-6.0,-4.0,-0.003666666666666707,-0.0693333333333333,0.023333333333333428,2.6666666666666643,-0.6666666666666679,-2.0,-1.6666666666666667,0.0,1480.8293039039365,1500.5440630336184,-19.714759129681852
21400051,2014-11-04,1610612752,NYK,22014,90.33333333333333,0.467,0.39199999999999996,0.7676666666666666,36.0,24.0,12.666666666666666,-5.333333333333333,0.6666666666666666,2014-11-04,1610612764,WAS,22014,102.66666666666667,0.5053333333333333,0.38733333333333336,0.7346666666666666,35.666666666666664,23.333333333333332,15.0,2.0,0.6666666666666666,0,-15.0,-12.333333333333343,-0.038333333333333275,0.004666666666666597,0.03300000000000003,0.3333333333333357,0.6666666666666679,-2.333333333333334,-7.333333333333333,0.0,1503.6206189781792,1518.9179178159843,-15.297298837805101
21400061,2014-11-05,1610612765,DET,22014,86.66666666666667,0.4026666666666667,0.20766666666666667,0.636,44.0,18.666666666666668,11.333333333333334,-9.333333333333334,0.0,2014-11-05,1610612752,NYK,22014,88.5,0.44275,0.42725,0.773,37.75,22.0,14.0,-7.75,0.5,1,3.0,-1.8333333333333286,-0.040083333333333304,-0.21958333333333335,-0.137,6.25,-3.333333333333332,-2.666666666666666,-1.583333333333334,-0.5,1478.899705923468,1485.7257718240467,-6.826065900578669
21400066,2014-11-05,1610612762,UTA,22014,103.5,0.46199999999999997,0.3015,0.83075,42.25,20.25,14.75,-2.0,0.25,2014-11-05,1610612739,CLE,22014,95.33333333333333,0.4053333333333333,0.33466666666666667,0.8383333333333334,42.0,19.333333333333332,14.0,-6.0,0.3333333333333333,1,2.0,8.166666666666671,0.05666666666666664,-0.03316666666666668,-0.007583333333333386,0.25,0.9166666666666679,0.75,4.0,-0.08333333333333331,1499.0237846836108,1498.9404006300042,0.08338405360655088
21400059,2014-11-05,1610612738,BOS,22014,108.0,0.4586666666666667,0.25299999999999995,0.745,42.666666666666664,25.666666666666668,13.0,-1.0,0.3333333333333333,2014-11-05,1610612761,TOR,22014,104.75,0.41800000000000004,0.2515,0.76825,41.25,18.25,9.0,6.75,0.75,0,-3.0,3.25,0.040666666666666684,0.0014999999999999458,-0.023249999999999993,1.4166666666666643,7.416666666666668,4.0,-7.75,-0.4166666666666667,1487.298615168281,1518.9863559240014,-31.68774075572037
21400064,2014-11-05,1610612759,SAS,22014,95.0,0.46950000000000003,0.41000000000000003,0.776,41.5,21.5,16.0,-2.0,0.5,2014-11-05,1610612737,ATL,22014,102.0,0.5035000000000001,0.4705,0.6435,39.5,26.0,14.5,1.5,0.5,1,2.0,-7.0,-0.03400000000000003,-0.06049999999999994,0.13250000000000006,2.0,-4.5,1.5,-3.5,0.0,1495.3092634061813,1506.5373285114974,-11.228065105316091
